Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-06-05 13:30:00+00:00,595.8699951171875,597.905029296875,595.25,597.6300048828125,6182494
2025-06-05 13:45:00+00:00,594.2896728515625,595.9000244140625,593.9099731445312,595.8499755859375,3576460
2025-06-05 14:00:00+00:00,594.6887817382812,595.2849731445312,594.1699829101562,594.2899780273438,2520170
2025-06-05 14:15:00+00:00,596.1649780273438,596.2100219726562,594.3900146484375,594.6900024414062,2084059
2025-06-05 14:30:00+00:00,596.5700073242188,597.52001953125,594.3200073242188,596.1599731445312,5635676
2025-06-05 14:45:00+00:00,597.2949829101562,597.5800170898438,595.9400024414062,596.5599975585938,4135538
2025-06-05 15:00:00+00:00,597.5449829101562,597.6599731445312,597.0599975585938,597.2899780273438,2351321
2025-06-05 15:15:00+00:00,598.6600952148438,598.7349853515625,597.489990234375,597.5499877929688,2512689
2025-06-05 15:30:00+00:00,598.6099853515625,598.781005859375,598.3099975585938,598.6500244140625,1711416
2025-06-05 15:45:00+00:00,598.7799072265625,599.0,598.1699829101562,598.6099853515625,1508552
2025-06-05 16:00:00+00:00,598.030029296875,598.9500122070312,597.97998046875,598.77001953125,1490423
2025-06-05 16:15:00+00:00,597.8900146484375,598.064697265625,597.030029296875,598.02001953125,2087978
2025-06-05 16:30:00+00:00,596.9000244140625,598.02001953125,596.89501953125,597.9000244140625,1352944
2025-06-05 16:45:00+00:00,594.760009765625,596.90478515625,594.260009765625,596.90478515625,4728602
2025-06-05 17:00:00+00:00,596.1199951171875,596.1199951171875,594.3049926757812,594.75,2485046
2025-06-05 17:15:00+00:00,596.469970703125,596.6799926757812,596.0999755859375,596.1099853515625,1409052
2025-06-05 17:30:00+00:00,596.8699951171875,596.9796752929688,596.4400024414062,596.4500122070312,1244273
2025-06-05 17:45:00+00:00,595.8200073242188,596.9500122070312,595.6799926757812,596.8800048828125,1769890
2025-06-05 18:00:00+00:00,594.7999877929688,596.02001953125,594.52001953125,596.02001953125,2782928
2025-06-05 18:15:00+00:00,595.219970703125,595.469970703125,593.0599975585938,594.7999877929688,3173224
2025-06-05 18:30:00+00:00,595.6300048828125,596.1199951171875,595.0900268554688,595.3200073242188,2445678
2025-06-05 18:45:00+00:00,595.239990234375,595.97998046875,595.1400146484375,595.6199951171875,1238688
2025-06-05 19:00:00+00:00,593.7999877929688,595.510009765625,593.6400146484375,595.239990234375,3482699
2025-06-05 19:15:00+00:00,592.4600219726562,594.2000122070312,591.0499877929688,593.8200073242188,7468883
2025-06-05 19:30:00+00:00,593.7901000976562,594.72998046875,592.4000244140625,592.469970703125,5315099
2025-06-05 19:45:00+00:00,593.0,594.77001953125,592.2000122070312,593.7899780273438,9446104
2025-06-06 13:30:00+00:00,600.4099731445312,600.5399780273438,598.4099731445312,598.469970703125,8114298
2025-06-06 13:45:00+00:00,600.2999877929688,600.8300170898438,599.6199951171875,600.4149780273438,4109785
2025-06-06 14:00:00+00:00,599.9450073242188,600.47998046875,599.3800048828125,600.2999877929688,2450101
2025-06-06 14:15:00+00:00,599.1799926757812,600.0900268554688,598.8499755859375,600.030029296875,2252964
2025-06-06 14:30:00+00:00,599.6500244140625,599.9400024414062,598.6500244140625,599.1599731445312,19263537
2025-06-06 14:45:00+00:00,599.2999877929688,599.7999877929688,599.1500244140625,599.6599731445312,1361732
2025-06-06 15:00:00+00:00,599.760009765625,600.3599853515625,598.8599853515625,599.2899780273438,2160151
2025-06-06 15:15:00+00:00,598.510009765625,599.7899780273438,597.25,599.77001953125,3889703
2025-06-06 15:30:00+00:00,598.510009765625,598.7371215820312,597.9699096679688,598.47998046875,1709555
2025-06-06 15:45:00+00:00,598.6901245117188,599.22998046875,598.3350219726562,598.52001953125,1342775
2025-06-06 16:00:00+00:00,599.1500244140625,599.3900146484375,598.6500244140625,598.7000122070312,1015846
2025-06-06 16:15:00+00:00,598.5900268554688,599.0588989257812,598.3800048828125,598.844970703125,1175367
2025-06-06 16:30:00+00:00,597.8400268554688,598.8900146484375,597.52001953125,598.5800170898438,1634442
2025-06-06 16:45:00+00:00,597.6199951171875,598.1849975585938,596.8599853515625,597.8499755859375,1968334
2025-06-06 17:00:00+00:00,597.6699829101562,597.8099975585938,597.125,597.6099853515625,2510798
2025-06-06 17:15:00+00:00,598.1900024414062,598.5700073242188,597.47998046875,597.6500244140625,2516340
2025-06-06 17:30:00+00:00,598.7711181640625,598.8099975585938,598.2000122070312,598.2000122070312,938797
2025-06-06 17:45:00+00:00,598.9500122070312,599.0499877929688,598.719970703125,598.77001953125,1048977
2025-06-06 18:00:00+00:00,599.7100219726562,599.8699951171875,598.9500122070312,598.9500122070312,1741250
2025-06-06 18:15:00+00:00,599.5800170898438,600.1300048828125,599.510009765625,599.70458984375,2501084
2025-06-06 18:30:00+00:00,599.8049926757812,600.6400146484375,599.5700073242188,599.5900268554688,2261006
2025-06-06 18:45:00+00:00,599.719970703125,600.0753784179688,599.4650268554688,599.75,1267557
2025-06-06 19:00:00+00:00,599.6699829101562,600.0599975585938,599.47998046875,599.72998046875,50517784
2025-06-06 19:15:00+00:00,599.3499755859375,599.760009765625,599.1799926757812,599.6699829101562,1995993
2025-06-06 19:30:00+00:00,599.3099975585938,599.5900268554688,598.989990234375,599.3400268554688,2145516
2025-06-06 19:45:00+00:00,599.0399780273438,599.8499755859375,598.9099731445312,599.3200073242188,7195160
